"Name","DisplayName","Enabled","Direction","Action","Profile"
"NETDIS-LLMNR-In-UDP","Network Discovery (LLMNR-UDP-In)","False","Inbound","Allow","Domain, Public"
"CoreNet-ICMP6-PP-Out","Core Networking - Parameter Problem (ICMPv6-Out)","True","Outbound","Allow","Any"
"CoreNet-ICMP6-RA-In","Core Networking - Router Advertisement (ICMPv6-In)","True","Inbound","Allow","Any"
"CoreNet-ICMP4-DUFRAG-In","Core Networking - Destination Unreachable Fragmentation Needed (ICMPv4-In)","True","Inbound","Allow","Any"
"CoreNet-DHCP-In","Core Networking - Dynamic Host Configuration Protocol (DHCP-In)","True","Inbound","Allow","Any"
"FPS-NB_Session-In-TCP-NoScope","File and Printer Sharing (NB-Session-In)","False","Inbound","Allow","Domain"
"FPS-NB_Datagram-Out-UDP-NoScope","File and Printer Sharing (NB-Datagram-Out)","False","Outbound","Allow","Domain"
"FPS-SpoolSvc-In-TCP","File and Printer Sharing (Spooler Service - RPC)","False","Inbound","Allow","Private, Public"
"RRAS-GRE-In","Routing and Remote Access (GRE-In)","False","Inbound","Allow","Any"
"TPMVSCMGR-RPCSS-In-TCP-NoScope","TPM Virtual Smart Card Management (DCOM-In)","False","Inbound","Allow","Domain"
"NETDIS-DAS-In-UDP-Active","Network Discovery (WSD-In)","True","Inbound","Allow","Private"
"CoreNet-DHCPV6-In","Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-In)","True","Inbound","Allow","Any"
"FPS-ICMP4-ERQ-Out","File and Printer Sharing (Echo Request - ICMPv4-Out)","False","Outbound","Allow","Private, Public"
"MSDTC-KTMRM-In-TCP","Distributed Transaction Coordinator (RPC)","False","Inbound","Allow","Private, Public"
"NETDIS-SSDPSrv-In-UDP-Teredo","Network Discovery for Teredo (SSDP-In)","False","Inbound","Allow","Public"
"CDPSvc-Out-TCP","Connected Devices Platform (TCP-Out)","True","Outbound","Allow","Domain, Private"
"MsiScsi-Out-TCP","iSCSI Service (TCP-Out)","False","Outbound","Allow","Private, Public"
"NETDIS-UPnP-Out-TCP","Network Discovery (UPnPHost-Out)","False","Outbound","Allow","Domain, Public"
"FPS-NB_Name-Out-UDP-NoScope","File and Printer Sharing (NB-Name-Out)","False","Outbound","Allow","Domain"
"FPS-SMB-Out-TCP","File and Printer Sharing (SMB-Out)","False","Outbound","Allow","Private, Public"
"MSDTC-RPCSS-In-TCP-NoScope","Distributed Transaction Coordinator (RPC-EPMAP)","False","Inbound","Allow","Domain"
"WFDPRINT-SCAN-In-Active","Wi-Fi Direct Scan Service Use (In)","True","Inbound","Allow","Public"
"RemoteAssistance-PnrpSvc-UDP-OUT","Remote Assistance (PNRP-Out)","False","Outbound","Allow","Public"
"FPS-ICMP4-ERQ-Out-NoScope","File and Printer Sharing (Echo Request - ICMPv4-Out)","False","Outbound","Allow","Domain"
"CoreNet-ICMP6-RS-Out","Core Networking - Router Solicitation (ICMPv6-Out)","True","Outbound","Allow","Any"
"NETDIS-FDPHOST-In-UDP-Active","Network Discovery (WSD-In)","True","Inbound","Allow","Private"
"RemoteAssistance-SSDPSrv-Out-UDP-Active","Remote Assistance (SSDP UDP-Out)","False","Outbound","Allow","Domain, Private"
"RemoteAssistance-SSDPSrv-Out-TCP-Active","Remote Assistance (SSDP TCP-Out)","False","Outbound","Allow","Domain, Private"
"CoreNet-ICMP6-NDS-In","Core Networking - Neighbor Discovery Solicitation (ICMPv6-In)","True","Inbound","Allow","Any"
"EventForwarder-RPCSS-In-TCP","Remote Event Monitor (RPC-EPMAP)","False","Inbound","Allow","Any"
"NETDIS-WSDEVNT-In-TCP-Active","Network Discovery (WSD Events-In)","True","Inbound","Allow","Private"
"FPS-SMB-Out-TCP-NoScope","File and Printer Sharing (SMB-Out)","False","Outbound","Allow","Domain"
"RemoteAssistance-DCOM-In-TCP-NoScope-Active","Remote Assistance (DCOM-In)","False","Inbound","Allow","Domain"
"RVM-RPCSS-In-TCP","Remote Volume Management (RPC-EPMAP)","False","Inbound","Allow","Private, Public"
"NETDIS-UPnPHost-Out-TCP-Active","Network Discovery (UPnP-Out)","True","Outbound","Allow","Private"
"NETDIS-WSDEVNTS-In-TCP-Active","Network Discovery (WSD EventsSecure-In)","True","Inbound","Allow","Private"
"RemoteAssistance-RAServer-In-TCP-NoScope-Active","Remote Assistance (RA Server TCP-In)","False","Inbound","Allow","Domain"
"RemoteEventLogSvc-RPCSS-In-TCP-NoScope","Remote Event Log Management (RPC-EPMAP)","False","Inbound","Allow","Domain"
"CoreNet-ICMP6-LR2-Out","Core Networking - Multicast Listener Report v2 (ICMPv6-Out)","True","Outbound","Allow","Any"
"CoreNet-Diag-ICMP6-EchoRequest-Out","Core Networking Diagnostics - ICMP Echo Request (ICMPv6-Out)","False","Outbound","Allow","Private, Public"
"EventForwarder-In-TCP","Remote Event Monitor (RPC)","False","Inbound","Allow","Any"
"NVS-FrameServer-In-UDP-NoScope","Microsoft Media Foundation Network Source IN [UDP 5004-5009]","True","Inbound","Allow","Any"
"NETDIS-UPnPHost-In-TCP-Active","Network Discovery (UPnP-In)","True","Inbound","Allow","Private"
"Microsoft-Windows-Enrollment-WinRT-TCP-Out","Windows Device Management Enrollment Service (TCP out)","True","Outbound","Allow","Any"
"SNMPTRAP-In-UDP-NoScope","SNMP Trap Service (UDP In)","False","Inbound","Allow","Domain"
"WMI-ASYNC-In-TCP","Windows Management Instrumentation (ASync-In)","False","Inbound","Allow","Private, Public"
"CoreNet-Diag-ICMP4-EchoRequest-Out-NoScope","Core Networking Diagnostics - ICMP Echo Request (ICMPv4-Out)","False","Outbound","Allow","Domain"
"MDNS-Out-UDP-Public-Active","mDNS (UDP-Out)","True","Outbound","Allow","Public"
"WMI-WINMGMT-In-TCP","Windows Management Instrumentation (WMI-In)","False","Inbound","Allow","Private, Public"
"FPS-NB_Datagram-In-UDP-NoScope","File and Printer Sharing (NB-Datagram-In)","False","Inbound","Allow","Domain"
"PerfLogsAlerts-PLASrv-In-TCP","Performance Logs and Alerts (TCP-In)","False","Inbound","Allow","Private, Public"
"RemoteFwAdmin-RPCSS-In-TCP","Windows Defender Firewall Remote Management (RPC-EPMAP)","False","Inbound","Allow","Private, Public"
"WINRM-HTTP-In-TCP","Windows Remote Management (HTTP-In)","False","Inbound","Allow","Public"
"DeliveryOptimization-TCP-In","Delivery Optimization (TCP-In)","True","Inbound","Allow","Any"
"FPS-NB_Name-In-UDP","File and Printer Sharing (NB-Name-In)","False","Inbound","Allow","Private, Public"
"MSDTC-Out-TCP-NoScope","Distributed Transaction Coordinator (TCP-Out)","False","Outbound","Allow","Domain"
"Microsoft-Windows-DeviceManagement-CertificateInstall-TCP-Out","Windows Device Management Certificate Installer (TCP out)","True","Outbound","Allow","Any"
"vm-monitoring-rpc","Virtual Machine Monitoring (RPC)","False","Inbound","Allow","Any"
"CoreNet-ICMP6-LD-Out","Core Networking - Multicast Listener Done (ICMPv6-Out)","True","Outbound","Allow","Any"
"NETDIS-NB_Name-In-UDP","Network Discovery (NB-Name-In)","False","Inbound","Allow","Public"
"RemoteAssistance-PnrpSvc-UDP-In-EdgeScope","Remote Assistance (PNRP-In)","False","Inbound","Allow","Public"
"RRAS-PPTP-In-TCP","Routing and Remote Access (PPTP-In)","False","Inbound","Allow","Any"
"CoreNet-Teredo-Out","Core Networking - Teredo (UDP-Out)","True","Outbound","Allow","Any"
"RVM-VDS-In-TCP","Remote Volume Management - Virtual Disk Service (RPC)","False","Inbound","Allow","Private, Public"
"MsiScsi-In-TCP","iSCSI Service (TCP-In)","False","Inbound","Allow","Private, Public"
"TPMVSCMGR-Server-In-TCP-NoScope","TPM Virtual Smart Card Management (TCP-In)","False","Inbound","Allow","Domain"
"WMI-WINMGMT-Out-TCP","Windows Management Instrumentation (WMI-Out)","False","Outbound","Allow","Private, Public"
"vm-monitoring-dcom","Virtual Machine Monitoring (DCOM-In)","False","Inbound","Allow","Any"
"CoreNet-ICMP6-RS-In","Core Networking - Router Solicitation (ICMPv6-In)","True","Inbound","Allow","Any"
"NETDIS-NB_Datagram-In-UDP-NoScope","Network Discovery (NB-Datagram-In)","False","Inbound","Allow","Domain"
"WMI-RPCSS-In-TCP","Windows Management Instrumentation (DCOM-In)","False","Inbound","Allow","Private, Public"
"WirelessDisplay-Infra-In-TCP","Wireless Display Infrastructure Back Channel (TCP-In)","True","Inbound","Allow","Any"
"PNRPMNRS-SSDPSrv-Out-UDP","Windows Collaboration Computer Name Registration Service (SSDP-Out)","False","Outbound","Allow","Any"
"NETDIS-FDRESPUB-WSD-In-UDP-Active","Network Discovery (Pub-WSD-In)","True","Inbound","Allow","Private"
"NETDIS-WSDEVNTS-Out-TCP","Network Discovery (WSD EventsSecure-Out)","False","Outbound","Allow","Public"
"FPS-NB_Session-Out-TCP","File and Printer Sharing (NB-Session-Out)","False","Outbound","Allow","Private, Public"
"CoreNet-GP-LSASS-Out-TCP","Core Networking - Group Policy (LSASS-Out)","True","Outbound","Allow","Domain"
"Microsoft-Windows-Troubleshooting-HTTP-HTTPS-Out","Recommended Troubleshooting Client (HTTP/HTTPS Out)","True","Outbound","Allow","Any"
"RemoteTask-RPCSS-In-TCP-NoScope","Remote Scheduled Tasks Management (RPC-EPMAP)","False","Inbound","Allow","Domain"
"RemoteAssistance-PnrpSvc-UDP-In-EdgeScope-Active","Remote Assistance (PNRP-In)","False","Inbound","Allow","Domain, Private"
"Collab-PNRP-In-UDP","Windows Peer to Peer Collaboration Foundation (PNRP-In)","False","Inbound","Allow","Any"
"NETDIS-UPnPHost-Out-TCP-NoScope","Network Discovery (UPnP-Out)","False","Outbound","Allow","Domain"
"DIAL-Protocol-Server-In-TCP-NoScope","DIAL protocol server (HTTP-In)","True","Inbound","Allow","Domain"
"RemoteSvcAdmin-RPCSS-In-TCP-NoScope","Remote Service Management (RPC-EPMAP)","False","Inbound","Allow","Domain"
"NETDIS-WSDEVNT-In-TCP-NoScope","Network Discovery (WSD Events-In)","False","Inbound","Allow","Domain"
"WMI-ASYNC-In-TCP-NoScope","Windows Management Instrumentation (ASync-In)","False","Inbound","Allow","Domain"
"vm-monitoring-nb-session","Virtual Machine Monitoring (NB-Session-In)","False","Inbound","Allow","Any"
"RemoteFwAdmin-In-TCP-NoScope","Windows Defender Firewall Remote Management (RPC)","False","Inbound","Allow","Domain"
"NETDIS-WSDEVNT-Out-TCP-NoScope","Network Discovery (WSD Events-Out)","False","Outbound","Allow","Domain"
"NETDIS-FDRESPUB-WSD-Out-UDP-Active","Network Discovery (Pub WSD-Out)","True","Outbound","Allow","Private"
"NETDIS-LLMNR-Out-UDP","Network Discovery (LLMNR-UDP-Out)","False","Outbound","Allow","Domain, Public"
"WirelessDisplay-Out-TCP","Wireless Display (TCP-Out)","True","Outbound","Allow","Any"
"WirelessDisplay-Out-UDP","Wireless Display (UDP-Out)","True","Outbound","Allow","Any"
"FPS-RPCSS-In-TCP","File and Printer Sharing (Spooler Service - RPC-EPMAP)","False","Inbound","Allow","Private, Public"
"FPS-ICMP6-ERQ-Out","File and Printer Sharing (Echo Request - ICMPv6-Out)","False","Outbound","Allow","Private, Public"
"RemoteAssistance-RAServer-Out-TCP-NoScope-Active","Remote Assistance (RA Server TCP-Out)","False","Outbound","Allow","Domain"
"CoreNet-ICMP6-RA-Out","Core Networking - Router Advertisement (ICMPv6-Out)","True","Outbound","Allow","Any"
"Collab-P2PHost-Out-TCP","Windows Peer to Peer Collaboration Foundation (TCP-Out)","False","Outbound","Allow","Any"
"CoreNet-ICMP6-NDA-In","Core Networking - Neighbor Discovery Advertisement (ICMPv6-In)","True","Inbound","Allow","Any"
"CoreNet-IPHTTPS-Out","Core Networking - IPHTTPS (TCP-Out)","True","Outbound","Allow","Any"
"NVS-FrameServer-In-TCP-NoScope","Microsoft Media Foundation Network Source IN [TCP 554]","True","Inbound","Allow","Any"
"NETDIS-WSDEVNTS-In-TCP-NoScope","Network Discovery (WSD EventsSecure-In)","False","Inbound","Allow","Domain"
"RemoteSvcAdmin-In-TCP","Remote Service Management (RPC)","False","Inbound","Allow","Private, Public"
"RemoteSvcAdmin-RPCSS-In-TCP","Remote Service Management (RPC-EPMAP)","False","Inbound","Allow","Private, Public"
"CoreNet-IGMP-Out","Core Networking - Internet Group Management Protocol (IGMP-Out)","True","Outbound","Allow","Any"
"WINRM-HTTP-Compat-In-TCP","Windows Remote Management - Compatibility Mode (HTTP-In)","False","Inbound","Allow","Private, Public"
"NETDIS-SSDPSrv-In-UDP","Network Discovery (SSDP-In)","False","Inbound","Allow","Domain, Public"
"FPS-NB_Name-In-UDP-NoScope","File and Printer Sharing (NB-Name-In)","False","Inbound","Allow","Domain"
"Collab-P2PHost-WSD-Out-UDP","Windows Peer to Peer Collaboration Foundation (WSD-Out)","False","Outbound","Allow","Any"
"NETDIS-DAS-In-UDP","Network Discovery (WSD-In)","False","Inbound","Allow","Domain, Public"
"FPS-NB_Session-In-TCP","File and Printer Sharing (NB-Session-In)","False","Inbound","Allow","Private, Public"
"CoreNet-ICMP6-PP-In","Core Networking - Parameter Problem (ICMPv6-In)","True","Inbound","Allow","Any"
"CoreNet-DNS-Out-UDP","Core Networking - DNS (UDP-Out)","True","Outbound","Allow","Any"
"MsiScsi-In-TCP-NoScope","iSCSI Service (TCP-In)","False","Inbound","Allow","Domain"
"NETDIS-NB_Name-In-UDP-Active","Network Discovery (NB-Name-In)","True","Inbound","Allow","Private"
"FPS-ICMP4-ERQ-In","File and Printer Sharing (Echo Request - ICMPv4-In)","False","Inbound","Allow","Private, Public"
"RemoteSvcAdmin-NP-In-TCP-NoScope","Remote Service Management (NP-In)","False","Inbound","Allow","Domain"
"CoreNet-Teredo-In","Core Networking - Teredo (UDP-In)","True","Inbound","Allow","Any"
"NETDIS-NB_Datagram-Out-UDP-Active","Network Discovery (NB-Datagram-Out)","True","Outbound","Allow","Private"
"NETDIS-NB_Datagram-In-UDP","Network Discovery (NB-Datagram-In)","False","Inbound","Allow","Public"
"RemoteSvcAdmin-In-TCP-NoScope","Remote Service Management (RPC)","False","Inbound","Allow","Domain"
"NVS-FrameServer-Out-TCP-NoScope","Microsoft Media Foundation Network Source OUT [TCP ALL]","True","Outbound","Allow","Any"
"FPS-SMB-In-TCP","File and Printer Sharing (SMB-In)","False","Inbound","Allow","Private, Public"
"PNRPMNRS-PNRP-Out-UDP","Windows Collaboration Computer Name Registration Service (PNRP-Out)","False","Outbound","Allow","Any"
"MSDTC-RPCSS-In-TCP","Distributed Transaction Coordinator (RPC-EPMAP)","False","Inbound","Allow","Private, Public"
"CoreNet-ICMP6-NDA-Out","Core Networking - Neighbor Discovery Advertisement (ICMPv6-Out)","True","Outbound","Allow","Any"
"NETDIS-UPnPHost-In-TCP","Network Discovery (UPnP-In)","False","Inbound","Allow","Public"
"AllJoyn-Router-Out-UDP","AllJoyn Router (UDP-Out)","True","Outbound","Allow","Domain, Private"
"RemoteSvcAdmin-NP-In-TCP","Remote Service Management (NP-In)","False","Inbound","Allow","Private, Public"
"RemoteFwAdmin-RPCSS-In-TCP-NoScope","Windows Defender Firewall Remote Management (RPC-EPMAP)","False","Inbound","Allow","Domain"
"Microsoft-Windows-DeviceManagement-deviceenroller-TCP-Out","Windows Device Management Device Enroller (TCP out)","True","Outbound","Allow","Any"
"CoreNet-ICMP6-LQ-Out","Core Networking - Multicast Listener Query (ICMPv6-Out)","True","Outbound","Allow","Any"
"Collab-PNRP-SSDPSrv-Out-UDP","Windows Peer to Peer Collaboration Foundation (SSDP-Out)","False","Outbound","Allow","Any"
"FPS-SMB-In-TCP-NoScope","File and Printer Sharing (SMB-In)","False","Inbound","Allow","Domain"
"NETDIS-NB_Name-In-UDP-NoScope","Network Discovery (NB-Name-In)","False","Inbound","Allow","Domain"
"FPS-ICMP6-ERQ-Out-NoScope","File and Printer Sharing (Echo Request - ICMPv6-Out)","False","Outbound","Allow","Domain"
"CoreNet-Diag-ICMP6-EchoRequest-In","Core Networking Diagnostics - ICMP Echo Request (ICMPv6-In)","False","Inbound","Allow","Private, Public"
"RVM-RPCSS-In-TCP-NoScope","Remote Volume Management (RPC-EPMAP)","False","Inbound","Allow","Domain"
"RVM-VDSLDR-In-TCP","Remote Volume Management - Virtual Disk Service Loader (RPC)","False","Inbound","Allow","Private, Public"
"TPMVSCMGR-RPCSS-In-TCP","TPM Virtual Smart Card Management (DCOM-In)","False","Inbound","Allow","Private, Public"
"TPMVSCMGR-Server-In-TCP","TPM Virtual Smart Card Management (TCP-In)","False","Inbound","Allow","Private, Public"
"TPMVSCMGR-Server-Out-TCP","TPM Virtual Smart Card Management (TCP-Out)","False","Outbound","Allow","Private, Public"
"RemoteAssistance-SSDPSrv-In-UDP-Active","Remote Assistance (SSDP UDP-In)","False","Inbound","Allow","Domain, Private"
"CoreNet-ICMP6-TE-Out","Core Networking - Time Exceeded (ICMPv6-Out)","True","Outbound","Allow","Any"
"NETDIS-WSDEVNTS-Out-TCP-NoScope","Network Discovery (WSD EventsSecure-Out)","False","Outbound","Allow","Domain"
"NETDIS-LLMNR-Out-UDP-Active","Network Discovery (LLMNR-UDP-Out)","True","Outbound","Allow","Private"
"NETDIS-UPnPHost-In-TCP-Teredo","Network Discovery for Teredo (UPnP-In)","False","Inbound","Allow","Public"
"NETDIS-FDRESPUB-WSD-Out-UDP","Network Discovery (Pub WSD-Out)","False","Outbound","Allow","Domain, Public"
"Netlogon-NamedPipe-In","Netlogon Service (NP-In)","False","Inbound","Allow","Any"
"vm-monitoring-icmpv4","Virtual Machine Monitoring (Echo Request - ICMPv4-In)","False","Inbound","Allow","Any"
"NETDIS-SSDPSrv-In-UDP-Active","Network Discovery (SSDP-In)","True","Inbound","Allow","Private"
"CDPSvc-In-UDP","Connected Devices Platform (UDP-In)","True","Inbound","Allow","Domain, Private"
"CDPSvc-In-TCP","Connected Devices Platform (TCP-In)","True","Inbound","Allow","Domain, Private"
"RemoteTask-RPCSS-In-TCP","Remote Scheduled Tasks Management (RPC-EPMAP)","False","Inbound","Allow","Private, Public"
"MDNS-In-UDP-Private-Active","mDNS (UDP-In)","True","Inbound","Allow","Private"
"RemoteAssistance-In-TCP-EdgeScope","Remote Assistance (TCP-In)","False","Inbound","Allow","Public"
"AllJoyn-Router-Out-TCP","AllJoyn Router (TCP-Out)","True","Outbound","Allow","Domain, Private"
"WFDPRINT-DAFWSD-Out-Active","Wi-Fi Direct Network Discovery (Out)","True","Outbound","Allow","Public"
"vm-monitoring-icmpv6","Virtual Machine Monitoring (Echo Request - ICMPv6-In)","False","Inbound","Allow","Any"
"CoreNet-ICMP6-LR-Out","Core Networking - Multicast Listener Report (ICMPv6-Out)","True","Outbound","Allow","Any"
"TPMVSCMGR-Server-Out-TCP-NoScope","TPM Virtual Smart Card Management (TCP-Out)","False","Outbound","Allow","Domain"
"NETDIS-LLMNR-In-UDP-Active","Network Discovery (LLMNR-UDP-In)","True","Inbound","Allow","Private"
"ProximityUxHost-Sharing-Out-TCP-NoScope","Proximity sharing over TCP (TCP sharing-Out)","True","Outbound","Allow","Any"
"RRAS-L2TP-In-UDP","Routing and Remote Access (L2TP-In)","False","Inbound","Allow","Any"
"CoreNet-ICMP6-PTB-In","Core Networking - Packet Too Big (ICMPv6-In)","True","Inbound","Allow","Any"
"CoreNet-DHCP-Out","Core Networking - Dynamic Host Configuration Protocol (DHCP-Out)","True","Outbound","Allow","Any"
"CoreNet-IPHTTPS-In","Core Networking - IPHTTPS (TCP-In)","True","Inbound","Allow","Any"
"RemoteFwAdmin-In-TCP","Windows Defender Firewall Remote Management (RPC)","False","Inbound","Allow","Private, Public"
"NETDIS-WSDEVNT-Out-TCP","Network Discovery (WSD Events-Out)","False","Outbound","Allow","Public"
"FPS-NB_Datagram-Out-UDP","File and Printer Sharing (NB-Datagram-Out)","False","Outbound","Allow","Private, Public"
"RemoteAssistance-PnrpSvc-UDP-OUT-Active","Remote Assistance (PNRP-Out)","False","Outbound","Allow","Domain, Private"
"AllJoyn-Router-In-TCP","AllJoyn Router (TCP-In)","True","Inbound","Allow","Domain, Private"
"AllJoyn-Router-In-UDP","AllJoyn Router (UDP-In)","True","Inbound","Allow","Domain, Private"
"CoreNet-ICMP6-LD-In","Core Networking - Multicast Listener Done (ICMPv6-In)","True","Inbound","Allow","Any"
"Microsoft-Windows-Unified-Telemetry-Client","Connected User Experiences and Telemetry","True","Outbound","Allow","Any"
"WFDPRINT-SCAN-Out-Active","Wi-Fi Direct Scan Service Use (Out)","True","Outbound","Allow","Public"
"CoreNet-ICMP6-DU-In","Core Networking - Destination Unreachable (ICMPv6-In)","True","Inbound","Allow","Any"
"NETDIS-WSDEVNTS-In-TCP","Network Discovery (WSD EventsSecure-In)","False","Inbound","Allow","Public"
"CDPSvc-WFD-In-TCP","Connected Devices Platform - Wi-Fi Direct Transport (TCP-In)","True","Inbound","Allow","Public"
"RemoteTask-In-TCP","Remote Scheduled Tasks Management (RPC)","False","Inbound","Allow","Private, Public"
"NETDIS-NB_Datagram-In-UDP-Active","Network Discovery (NB-Datagram-In)","True","Inbound","Allow","Private"
"FPS-NB_Session-Out-TCP-NoScope","File and Printer Sharing (NB-Session-Out)","False","Outbound","Allow","Domain"
"FPS-ICMP6-ERQ-In","File and Printer Sharing (Echo Request - ICMPv6-In)","False","Inbound","Allow","Private, Public"
"CoreNet-Diag-ICMP4-EchoRequest-Out","Core Networking Diagnostics - ICMP Echo Request (ICMPv4-Out)","False","Outbound","Allow","Private, Public"
"MDNS-Out-UDP-Private-Active","mDNS (UDP-Out)","True","Outbound","Allow","Private"
"NETDIS-SSDPSrv-Out-UDP","Network Discovery (SSDP-Out)","False","Outbound","Allow","Domain, Public"
"PerfLogsAlerts-DCOM-In-TCP-NoScope","Performance Logs and Alerts (DCOM-In)","False","Inbound","Allow","Domain"
"NETDIS-NB_Datagram-Out-UDP-NoScope","Network Discovery (NB-Datagram-Out)","False","Outbound","Allow","Domain"
"RRAS-PPTP-Out-TCP","Routing and Remote Access (PPTP-Out)","False","Outbound","Allow","Any"
"PerfLogsAlerts-PLASrv-In-TCP-NoScope","Performance Logs and Alerts (TCP-In)","False","Inbound","Allow","Domain"
"WINRM-HTTP-In-TCP-NoScope","Windows Remote Management (HTTP-In)","False","Inbound","Allow","Domain, Private"
"WFDPRINT-DAFWSD-In-Active","Wi-Fi Direct Network Discovery (In)","True","Inbound","Allow","Public"
"CoreNet-ICMP6-NDS-Out","Core Networking - Neighbor Discovery Solicitation (ICMPv6-Out)","True","Outbound","Allow","Any"
"Collab-PNRP-Out-UDP","Windows Peer to Peer Collaboration Foundation (PNRP-Out)","False","Outbound","Allow","Any"
"NETDIS-FDPHOST-Out-UDP","Network Discovery (WSD-Out)","False","Outbound","Allow","Domain, Public"
"NETDIS-WSDEVNT-In-TCP","Network Discovery (WSD Events-In)","False","Inbound","Allow","Public"
"WirelessDisplay-In-TCP","Wireless Display (TCP-In)","True","Inbound","Allow","Any"
"FPS-ICMP6-ERQ-In-NoScope","File and Printer Sharing (Echo Request - ICMPv6-In)","False","Inbound","Allow","Domain"
"PNRPMNRS-SSDPSrv-In-UDP","Windows Collaboration Computer Name Registration Service (SSDP-In)","False","Inbound","Allow","Any"
"PerfLogsAlerts-DCOM-In-TCP","Performance Logs and Alerts (DCOM-In)","False","Inbound","Allow","Private, Public"
"CoreNet-IPv6-Out","Core Networking - IPv6 (IPv6-Out)","True","Outbound","Allow","Any"
"NETDIS-UPnPHost-In-TCP-NoScope","Network Discovery (UPnP-In)","False","Inbound","Allow","Domain"
"RemoteEventLogSvc-RPCSS-In-TCP","Remote Event Log Management (RPC-EPMAP)","False","Inbound","Allow","Private, Public"
"CoreNet-Diag-ICMP6-EchoRequest-Out-NoScope","Core Networking Diagnostics - ICMP Echo Request (ICMPv6-Out)","False","Outbound","Allow","Domain"
"NETDIS-WSDEVNTS-Out-TCP-Active","Network Discovery (WSD EventsSecure-Out)","True","Outbound","Allow","Private"
"WMI-RPCSS-In-TCP-NoScope","Windows Management Instrumentation (DCOM-In)","False","Inbound","Allow","Domain"
"RemoteAssistance-SSDPSrv-In-TCP-Active","Remote Assistance (SSDP TCP-In)","False","Inbound","Allow","Domain, Private"
"MSDTC-KTMRM-In-TCP-NoScope","Distributed Transaction Coordinator (RPC)","False","Inbound","Allow","Domain"
"ProximityUxHost-Sharing-In-TCP-NoScope","Proximity sharing over TCP (TCP sharing-In)","True","Inbound","Allow","Any"
"CoreNet-IGMP-In","Core Networking - Internet Group Management Protocol (IGMP-In)","True","Inbound","Allow","Any"
"CoreNet-GP-NP-Out-TCP","Core Networking - Group Policy (NP-Out)","True","Outbound","Allow","Domain"
"MsiScsi-Out-TCP-NoScope","iSCSI Service (TCP-Out)","False","Outbound","Allow","Domain"
