"Name","State","PathName","StartMode"
"iaLPSS2i_GPIO2","Stopped","C:\Windows\system32\drivers\iaLPSS2i_GPIO2.sys","Manual"
"iaLPSS2i_GPIO2_BXT_P","Stopped","C:\Windows\system32\drivers\iaLPSS2i_GPIO2_BXT_P.sys","Manual"
"iaLPSS2i_GPIO2_CNL","Stopped","C:\Windows\system32\drivers\iaLPSS2i_GPIO2_CNL.sys","Manual"
"iaLPSS2i_GPIO2_GLK","Stopped","C:\Windows\system32\drivers\iaLPSS2i_GPIO2_GLK.sys","Manual"
"iaLPSS2i_I2C","Stopped","C:\Windows\system32\drivers\iaLPSS2i_I2C.sys","Manual"
"iaLPSS2i_I2C_BXT_P","Stopped","C:\Windows\system32\drivers\iaLPSS2i_I2C_BXT_P.sys","Manual"
"iaLPSS2i_I2C_CNL","Stopped","C:\Windows\system32\drivers\iaLPSS2i_I2C_CNL.sys","Manual"
"iaLPSS2i_I2C_GLK","Stopped","C:\Windows\system32\drivers\iaLPSS2i_I2C_GLK.sys","Manual"
"iaLPSS2_GPIO2_ADL","Running","C:\Windows\system32\DriverStore\FileRepository\ialpss2_gpio2_adl.inf_amd64_302e75596cffa74a\iaLPSS2_GPIO2_ADL.sys","Manual"
"iaLPSS2_I2C_ADL","Running","C:\Windows\system32\DriverStore\FileRepository\ialpss2_i2c_adl.inf_amd64_e736c048ca307ed2\iaLPSS2_I2C_ADL.sys","Manual"
"iaLPSSi_GPIO","Stopped","C:\Windows\system32\drivers\iaLPSSi_GPIO.sys","Manual"
"iaLPSSi_I2C","Stopped","C:\Windows\system32\drivers\iaLPSSi_I2C.sys","Manual"
"iaStorAVC","Stopped","C:\Windows\system32\drivers\iaStorAVC.sys","Manual"
"iaStorV","Stopped","C:\Windows\system32\drivers\iaStorV.sys","Manual"
"iaStorVD","Stopped","C:\Windows\system32\drivers\iaStorVD.sys","Manual"
"ibbus","Stopped","C:\Windows\system32\drivers\ibbus.sys","Manual"
"ibtuart","Stopped","C:\Windows\system32\DriverStore\FileRepository\ibtuart.inf_amd64_2287497d0a09910d\ibtuart.sys","Manual"
"ibtusb","Running","C:\Windows\system32\DriverStore\FileRepository\ibtusb.inf_amd64_6c8d28bf97b39b35\ibtusb.sys","Manual"
"igfxn","Running","C:\Windows\system32\DriverStore\FileRepository\iigd_dch.inf_amd64_5b1252b3763da959\igdkmdn64.sys","Manual"
"IndirectKmd","Stopped","C:\Windows\system32\drivers\IndirectKmd.sys","Manual"
"IntcAudioBus","Running","C:\Windows\system32\DriverStore\FileRepository\intcaudiobus.inf_amd64_b785d6c4a1064773\IntcAudioBus.sys","Manual"
"IntcAzAudAddService","Running","C:\Windows\system32\drivers\RTKVHD64.sys","Manual"
"IntcBTAu","Running","C:\Windows\system32\DriverStore\FileRepository\intcbtau.inf_amd64_94e145656a2ecd6c\IntcBTAu.sys","Manual"
"IntcDMic","Running","C:\Windows\system32\DriverStore\FileRepository\intcdmic.inf_amd64_ca492f503c74ac48\IntcDMic.sys","Manual"
"IntcOED","Running","C:\Windows\system32\DriverStore\FileRepository\intcoed.inf_amd64_cbcebe813d4324dc\IntcOED.sys","Manual"
"IntcUSB","Running","C:\Windows\system32\DriverStore\FileRepository\intcusb.inf_amd64_9d17fea24a602101\IntcUSB.sys","Manual"
"IntelGNA","Running","C:\Windows\system32\DriverStore\FileRepository\gna.inf_amd64_04d4eecc5838a558\gna.sys","Manual"
"intelide","Stopped","C:\Windows\system32\drivers\intelide.sys","Manual"
"intelpep","Running","C:\Windows\system32\drivers\intelpep.sys","Boot"
"intelpmax","Stopped","C:\Windows\system32\drivers\intelpmax.sys","Manual"
"IntelPMT","Running","C:\Windows\system32\drivers\IntelPMT.sys","Boot"
"intelppm","Running","C:\Windows\system32\drivers\intelppm.sys","Manual"
"Intel_NF_I2C","Stopped","C:\Windows\system32\DriverStore\FileRepository\intel_nf_i2c_child.inf_amd64_a329fd450939b60d\Intel_NF_I2C.sys","Manual"
"iorate","Running","C:\Windows\system32\drivers\iorate.sys","Boot"
"iospy","Stopped","C:\Windows\system32\DRIVERS\IoSpy.sys","Manual"
"IpFilterDriver","Stopped","C:\Windows\system32\DRIVERS\ipfltdrv.sys","Manual"
"ipf_acpi","Running","C:\Windows\system32\DriverStore\FileRepository\ipf_acpi.inf_amd64_bbf43e4f318d6971\ipf_acpi.sys","Manual"
"ipf_cpu","Running","C:\Windows\system32\DriverStore\FileRepository\ipf_cpu.inf_amd64_b4463a9eb4e1c069\ipf_cpu.sys","Manual"
"ipf_lf","Running","C:\Windows\system32\DriverStore\FileRepository\ipf_cpu.inf_amd64_b4463a9eb4e1c069\ipf_lf.sys","Manual"
"IPMIDRV","Stopped","C:\Windows\system32\drivers\IPMIDrv.sys","Manual"
"IPNAT","Stopped","C:\Windows\system32\drivers\ipnat.sys","Manual"
"IPT","Stopped","C:\Windows\system32\drivers\ipt.sys","Manual"
"isapnp","Stopped","C:\Windows\system32\drivers\isapnp.sys","Manual"
"iScsiPrt","Stopped","C:\Windows\system32\drivers\msiscsi.sys","Manual"
"ItSas35i","Stopped","C:\Windows\system32\drivers\ItSas35i.sys","Manual"
"kbdclass","Running","C:\Windows\system32\drivers\kbdclass.sys","Manual"
"kbdhid","Running","C:\Windows\system32\drivers\kbdhid.sys","Manual"
"kdnic","Running","C:\Windows\system32\drivers\kdnic.sys","Manual"
"KSecDD","Running","C:\Windows\system32\Drivers\ksecdd.sys","Boot"
"KSecPkg","Running","C:\Windows\system32\Drivers\ksecpkg.sys","Boot"
"KslD","Running","C:\Windows\system32\drivers\wd\KslD.sys","Manual"
"ksthunk","Running","C:\Windows\system32\drivers\ksthunk.sys","Manual"
"lltdio","Running","C:\Windows\system32\drivers\lltdio.sys","Auto"
"LSI_SAS","Stopped","C:\Windows\system32\drivers\lsi_sas.sys","Manual"
"LSI_SAS2i","Stopped","C:\Windows\system32\drivers\lsi_sas2i.sys","Manual"
"LSI_SAS3i","Stopped","C:\Windows\system32\drivers\lsi_sas3i.sys","Manual"
"luafv","Running","C:\Windows\system32\drivers\luafv.sys","Auto"
"mausbhost","Stopped","C:\Windows\system32\drivers\mausbhost.sys","Manual"
"mausbip","Stopped","C:\Windows\system32\drivers\mausbip.sys","Manual"
"MbbCx","Stopped","C:\Windows\system32\drivers\MbbCx.sys","Manual"
"megasas2i","Stopped","C:\Windows\system32\drivers\MegaSas2i.sys","Manual"
"megasas35i","Stopped","C:\Windows\system32\drivers\megasas35i.sys","Manual"
"megasr","Stopped","C:\Windows\system32\drivers\megasr.sys","Manual"
"MEIx64","Running","C:\Windows\system32\DriverStore\FileRepository\heci.inf_amd64_233f304c63bedbe1\x64\TeeDriverW10x64.sys","Manual"
"Microsoft_Bluetooth_AvrcpTransport","Stopped","C:\Windows\system32\drivers\Microsoft.Bluetooth.AvrcpTransport.sys","Manual"
"mlx4_bus","Stopped","C:\Windows\system32\drivers\mlx4_bus.sys","Manual"
"MMCSS","Running","C:\Windows\system32\drivers\mmcss.sys","Auto"
"Modem","Stopped","C:\Windows\system32\drivers\modem.sys","Manual"
"monitor","Running","C:\Windows\system32\drivers\monitor.sys","Manual"
"mouclass","Running","C:\Windows\system32\drivers\mouclass.sys","Manual"
"mouhid","Running","C:\Windows\system32\drivers\mouhid.sys","Manual"
"mountmgr","Running","C:\Windows\system32\drivers\mountmgr.sys","Boot"
"mpi3drvi","Stopped","C:\Windows\system32\drivers\mpi3drvi.sys","Manual"
"mpsdrv","Running","C:\Windows\system32\drivers\mpsdrv.sys","Manual"
"MRxDAV","Stopped","C:\Windows\system32\drivers\mrxdav.sys","Manual"
"mrxsmb","Running","C:\Windows\system32\DRIVERS\mrxsmb.sys","Manual"
"mrxsmb20","Running","C:\Windows\system32\DRIVERS\mrxsmb20.sys","Manual"
"MsBridge","Stopped","C:\Windows\system32\drivers\bridge.sys","Manual"
"MSDMFilt","Stopped","C:\Windows\system32\DRIVERS\MSDMFilt.sys","Manual"
"Msfs","Running","C:\Windows\system32\drivers\Msfs.sys","System"
"msgpiowin32","Running","C:\Windows\system32\drivers\msgpiowin32.sys","Manual"
"mshidkmdf","Running","C:\Windows\system32\drivers\mshidkmdf.sys","Manual"
"mshidumdf","Stopped","C:\Windows\system32\drivers\mshidumdf.sys","Manual"
"msisadrv","Running","C:\Windows\system32\drivers\msisadrv.sys","Boot"
"MSKSSRV","Stopped","C:\Windows\system32\drivers\MSKSSRV.sys","Manual"
"MsLldp","Running","C:\Windows\system32\drivers\mslldp.sys","Auto"
"MSPCLOCK","Stopped","C:\Windows\system32\drivers\MSPCLOCK.sys","Manual"
"MSPQM","Stopped","C:\Windows\system32\drivers\MSPQM.sys","Manual"
"MsQuic","Stopped","C:\Windows\system32\drivers\msquic.sys","Manual"
"MsRPC","Stopped","C:\Windows\system32\drivers\MsRPC.sys","Manual"
"mssmbios","Running","C:\Windows\system32\drivers\mssmbios.sys","System"
"MSTEE","Stopped","C:\Windows\system32\drivers\MSTEE.sys","Manual"
"MTConfig","Running","C:\Windows\system32\drivers\MTConfig.sys","Manual"
"Mup","Running","C:\Windows\system32\Drivers\mup.sys","Boot"
"mvumis","Stopped","C:\Windows\system32\drivers\mvumis.sys","Manual"
"NahimicBTLink","Running","C:\Windows\system32\drivers\NahimicBTLink.sys","Manual"
"Nahimic_Mirroring","Running","C:\Windows\system32\drivers\Nahimic_Mirroring.sys","Manual"
"NativeWifiP","Running","C:\Windows\system32\DRIVERS\nwifi.sys","Manual"
"ndfltr","Stopped","C:\Windows\system32\drivers\ndfltr.sys","Manual"
"NDIS","Running","C:\Windows\system32\drivers\ndis.sys","Boot"
"NdisCap","Running","C:\Windows\system32\drivers\ndiscap.sys","System"
"NdisImPlatform","Stopped","C:\Windows\system32\drivers\NdisImPlatform.sys","Manual"
"NdisTapi","Running","C:\Windows\system32\DRIVERS\ndistapi.sys","Manual"
"Ndisuio","Running","C:\Windows\system32\drivers\ndisuio.sys","Manual"
"NdisVirtualBus","Running","C:\Windows\system32\drivers\NdisVirtualBus.sys","Manual"
"NdisWan","Running","C:\Windows\system32\drivers\ndiswan.sys","Manual"
"ndiswanlegacy","Stopped","C:\Windows\system32\DRIVERS\ndiswan.sys","Manual"
"NDKPerf","Stopped","C:\Windows\system32\drivers\NDKPerf.sys","Manual"
"NDKPing","Stopped","C:\Windows\system32\drivers\NDKPing.sys","Manual"
"ndproxy","Running","C:\Windows\system32\DRIVERS\NDProxy.sys","Manual"
"Ndu","Running","C:\Windows\system32\drivers\Ndu.sys","Auto"
"NetAdapterCx","Stopped","C:\Windows\system32\drivers\NetAdapterCx.sys","Manual"
"NetBIOS","Running","C:\Windows\system32\drivers\netbios.sys","System"
"NetBT","Running","C:\Windows\system32\DRIVERS\netbt.sys","System"
"netvsc","Stopped","C:\Windows\system32\drivers\netvsc.sys","Manual"
"Netwtw12","Stopped","C:\Windows\system32\drivers\Netwtw12.sys","Manual"
"Netwtw14","Running","C:\Windows\system32\drivers\Netwtw14.sys","Manual"
"nllWintun","Stopped","C:\Windows\system32\drivers\nllWintun.sys","Manual"
"npcap","Running","C:\Windows\system32\DRIVERS\npcap.sys","System"
"npcap_wifi","Stopped","C:\Windows\system32\DRIVERS\npcap.sys","Disabled"
"Npfs","Running","C:\Windows\system32\drivers\Npfs.sys","System"
"npsvctrig","Running","C:\Windows\system32\drivers\npsvctrig.sys","System"
"nsiproxy","Running","C:\Windows\system32\drivers\nsiproxy.sys","System"
"Ntfs","Running","C:\Windows\system32\drivers\Ntfs.sys","Manual"
"Null","Running","C:\Windows\system32\drivers\Null.sys","System"
"nvdimm","Stopped","C:\Windows\system32\drivers\nvdimm.sys","Manual"
"NVHDA","Running","C:\Windows\system32\drivers\nvhda64v.sys","Manual"
"nvlddmkm","Running","C:\Windows\system32\DriverStore\FileRepository\nvmii.inf_amd64_dec58f6b93e9280e\nvlddmkm.sys","Manual"
"nvmedisk","Stopped","C:\Windows\system32\drivers\nvmedisk.sys","Manual"
"nvpcf","Running","C:\Windows\system32\drivers\nvpcf.sys","Manual"
"nvraid","Stopped","C:\Windows\system32\drivers\nvraid.sys","Manual"
"nvstor","Stopped","C:\Windows\system32\drivers\nvstor.sys","Manual"
"nvvad_WaveExtensible","Running","C:\Windows\system32\drivers\nvvad64v.sys","Manual"
"nvvhci","Stopped","C:\Windows\system32\drivers\nvvhci.sys","Disabled"
"P9Rdr","Running","C:\Windows\system32\drivers\p9rdr.sys","Manual"
"Parport","Stopped","C:\Windows\system32\drivers\parport.sys","Manual"
"partmgr","Running","C:\Windows\system32\drivers\partmgr.sys","Boot"
"pci","Running","C:\Windows\system32\drivers\pci.sys","Boot"
"pciide","Stopped","C:\Windows\system32\drivers\pciide.sys","Manual"
"pcmcia","Stopped","C:\Windows\system32\drivers\pcmcia.sys","Manual"
"pcw","Running","C:\Windows\system32\drivers\pcw.sys","Boot"
"pdc","Running","C:\Windows\system32\drivers\pdc.sys","Boot"
"PEAUTH","Running","C:\Windows\system32\drivers\peauth.sys","Auto"
"percsas2i","Stopped","C:\Windows\system32\drivers\percsas2i.sys","Manual"
"percsas3i","Stopped","C:\Windows\system32\drivers\percsas3i.sys","Manual"
"PktMon","Stopped","C:\Windows\system32\drivers\PktMon.sys","Manual"
"pmem","Stopped","C:\Windows\system32\drivers\pmem.sys","Manual"
"PNPMEM","Stopped","C:\Windows\system32\drivers\pnpmem.sys","Manual"
"portcfg","Stopped","C:\Windows\system32\drivers\portcfg.sys","Manual"
"PptpMiniport","Running","C:\Windows\system32\drivers\raspptp.sys","Manual"
"PRM","Running","C:\Windows\system32\DriverStore\FileRepository\prm.inf_amd64_de435dc5c75d64a5\PRM.sys","Boot"
"Processor","Stopped","C:\Windows\system32\drivers\processr.sys","Manual"
"Psched","Running","C:\Windows\system32\drivers\pacer.sys","System"
"pvscsi","Stopped","C:\Windows\system32\drivers\pvscsii.sys","Manual"
"QWAVEdrv","Stopped","C:\Windows\system32\drivers\qwavedrv.sys","Manual"
"Ramdisk","Stopped","C:\Windows\system32\DRIVERS\ramdisk.sys","Manual"
"RasAcd","Stopped","C:\Windows\system32\DRIVERS\rasacd.sys","Manual"
"RasAgileVpn","Running","C:\Windows\system32\drivers\AgileVpn.sys","Manual"
"Rasl2tp","Running","C:\Windows\system32\drivers\rasl2tp.sys","Manual"
"RasPppoe","Running","C:\Windows\system32\drivers\raspppoe.sys","Manual"
"RasSstp","Running","C:\Windows\system32\drivers\rassstp.sys","Manual"
"rdbss","Running","C:\Windows\system32\DRIVERS\rdbss.sys","System"
"rdpbus","Running","C:\Windows\system32\drivers\rdpbus.sys","Manual"
"RDPDR","Stopped","C:\Windows\system32\drivers\rdpdr.sys","Manual"
"RdpVideoMiniport","Stopped","C:\Windows\system32\drivers\rdpvideominiport.sys","Manual"
"rdyboost","Running","C:\Windows\system32\drivers\rdyboost.sys","Boot"
"ReFS","Stopped","C:\Windows\system32\drivers\ReFS.sys","Manual"
"ReFSv1","Stopped","C:\Windows\system32\drivers\ReFSv1.sys","Manual"
"RFCOMM","Stopped","C:\Windows\system32\drivers\rfcomm.sys","Manual"
"rhproxy","Stopped","C:\Windows\system32\drivers\rhproxy.sys","Manual"
"RoutePolicy","Stopped","C:\Windows\system32\drivers\RoutePolicy.sys","Manual"
"rspndr","Running","C:\Windows\system32\drivers\rspndr.sys","Auto"
"rt640x64","Running","C:\Windows\system32\drivers\rt640x64.sys","Manual"
"rt68cx21","Stopped","C:\Windows\system32\DriverStore\FileRepository\rt68cx21x64.inf_amd64_8db01a9992cf3fbb\rt68cx21x64.sys","Manual"
"rtcx21","Stopped","C:\Windows\system32\DriverStore\FileRepository\rtcx21x64.inf_amd64_516e5c9b75c49dc2\rtcx21x64.sys","Manual"
"rtucx22x64","Stopped","C:\Windows\system32\DriverStore\FileRepository\rtucx22x64.inf_amd64_b75e67d8c02481f5\rtucx22x64.sys","Manual"
"rtux64w10","Stopped","C:\Windows\system32\DriverStore\FileRepository\rtux64w10.inf_amd64_03831aeaaa2c730e\rtux64w10.sys","Manual"
"rtwlanu6","Running","C:\Windows\system32\drivers\rtwlanu6.sys","Manual"
"RzCommon","Running","C:\Windows\system32\drivers\RzCommon.sys","Manual"
"RzDev_0083","Stopped","C:\Windows\system32\drivers\RzDev_0083.sys","Manual"
"RzDev_0098","Stopped","C:\Windows\system32\drivers\RzDev_0098.sys","Manual"
"RzDev_00b9","Running","C:\Windows\system32\drivers\RzDev_00b9.sys","Manual"
"RzDev_Virtual","Running","C:\Windows\system32\drivers\RzDev_Virtual.sys","Manual"
"s3cap","Stopped","C:\Windows\system32\drivers\vms3cap.sys","Manual"
"sbp2port","Stopped","C:\Windows\system32\drivers\sbp2port.sys","Manual"
"scfilter","Stopped","C:\Windows\system32\DRIVERS\scfilter.sys","Manual"
"scmbus","Stopped","C:\Windows\system32\drivers\scmbus.sys","Manual"
"sdbus","Stopped","C:\Windows\system32\drivers\sdbus.sys","Manual"
"SDFRd","Stopped","C:\Windows\system32\drivers\SDFRd.sys","Manual"
"sdstor","Stopped","C:\Windows\system32\drivers\sdstor.sys","Manual"
"SerCx","Stopped","C:\Windows\system32\drivers\SerCx.sys","Manual"
"SerCx2","Stopped","C:\Windows\system32\drivers\SerCx2.sys","Manual"
"Serenum","Stopped","C:\Windows\system32\drivers\serenum.sys","Manual"
"Serial","Stopped","C:\Windows\system32\drivers\serial.sys","Manual"
"sermouse","Stopped","C:\Windows\system32\drivers\sermouse.sys","Manual"
"sfloppy","Stopped","C:\Windows\system32\drivers\sfloppy.sys","Manual"
"SiSRaid2","Stopped","C:\Windows\system32\drivers\SiSRaid2.sys","Manual"
"SiSRaid4","Stopped","C:\Windows\system32\drivers\sisraid4.sys","Manual"
"SmartSAMD","Stopped","C:\Windows\system32\drivers\SmartSAMD.sys","Manual"
